sample	integrated_mtbc_status	mtbc_support_source	kraken_mtbc_supported	kraken_species	kraken_mtbc_reads	mtbc_percent	tbprofiler_lineage_status	tbprofiler_main_lineage	tbprofiler_sub_lineage	lineage_group	resistance_profile	drug_resistance_detected	resistant_drugs	mean_depth	selected_for_phylogeny	included_in_tree	selection_basis	tbprofiler_status
SRR31322799	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1594475	99.00	Resolved by TB-Profiler	lineage4	lineage4.3.1	L4	No resistance detected by TB-Profiler	NO	None reported	97.60	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR31322815	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1523695	98.84	Resolved by TB-Profiler	lineage3	lineage3	L3	No resistance detected by TB-Profiler	NO	None reported	93.00	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR31322835	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1203462	99.12	Resolved by TB-Profiler	lineage4	lineage4.2.1	L4	No resistance detected by TB-Profiler	NO	None reported	73.86	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR31859060	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1065875	99.08	Resolved by TB-Profiler	lineage3	lineage3	L3	MDR-TB	YES	rifampicin, isoniazid, ethambutol, ethionamide	34.54	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR31859065	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1425723	99.32	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	MDR-TB	YES	rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide, ethambutol	78.66	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR32281539	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	2165437	97.12	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, bedaquiline, clofazimine, isoniazid, pyrazinamide, ethambutol, ethionamide	21.17	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR32861807	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	937908	99.07	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	No resistance detected by TB-Profiler	NO	None reported	49.24	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR32861810	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1353930	99.40	Resolved by TB-Profiler	lineage3	lineage3	L3	No resistance detected by TB-Profiler	NO	None reported	77.38	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR32861813	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1265556	99.20	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	MDR-TB	YES	rifampicin, streptomycin, isoniazid, pyrazinamide, ethambutol	59.34	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR32861817	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	406227	50.16	Resolved by TB-Profiler	lineage4	lineage4.8	L4	No resistance detected by TB-Profiler	NO	None reported	16.74	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR32861821	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1126771	98.80	Resolved by TB-Profiler	lineage4	lineage4.1.1.1	L4	MDR-TB	YES	rifampicin, isoniazid, pyrazinamide, ethambutol, ethionamide	51.80	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR32861823	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	845453	99.33	Resolved by TB-Profiler	lineage7	lineage7	L7	No resistance detected by TB-Profiler	NO	None reported	45.50	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR32861827	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1078007	98.88	Resolved by TB-Profiler	lineage3	lineage3	L3	No resistance detected by TB-Profiler	NO	None reported	55.35	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR32861832	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	844119	98.79	Resolved by TB-Profiler	lineage4	lineage4.6.3	L4	No resistance detected by TB-Profiler	NO	None reported	42.95	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR33015690	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1511796	99.03	Resolved by TB-Profiler	lineage7	lineage7	L7	No resistance detected by TB-Profiler	NO	None reported	92.61	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR33015696	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1302684	85.01	Resolved by TB-Profiler	lineage4	lineage4.2.2.2	L4	MDR-TB	YES	rifampicin, isoniazid, pyrazinamide, ethambutol, ethionamide	79.29	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
